Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10284653,Haacht,HOUSE,VILLA,445000.0,BUY_REGULAR,4.0,230.0,0,None,0,1,None,1,350,949,4,None,TO_BE_DONE_UP
10306931,Keerbergen,HOUSE,HOUSE,489000.0,BUY_REGULAR,5.0,238.0,0,None,0,1,None,None,None,1684,4,None,GOOD
10303735,Halle,APARTMENT,APARTMENT,225000.0,BUY_REGULAR,1.0,60.0,None,None,0,1,None,None,None,None,2,0,
10290022,Dilbeek,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,2.0,78.0,0,None,0,1,None,None,None,,3,None,GOOD
10297024,Liedekerke,HOUSE,HOUSE,245000.0,BUY_REGULAR,2.0,110.0,0,None,0,None,None,1,35,95,3,None,JUST_RENOVATED
10287566,BUDINGEN,HOUSE,HOUSE,199000.0,BUY_REGULAR,3.0,180.0,0,None,0,None,None,None,None,597,3,None,GOOD
10294132,Halle,APARTMENT,LOFT,439000.0,BUY_REGULAR,3.0,134.0,0,None,0,1,26,None,None,None,2,0,
10298762,Zaventem,HOUSE,MIXED_USE_BUILDING,1050000.0,BUY_REGULAR,5.0,490.0,None,None,0,1,None,1,800,985,None,None,None
10309340,Begijnendijk,HOUSE,HOUSE,305000.0,BUY_REGULAR,3.0,190.0,None,None,0,1,None,None,None,778,4,None,TO_RENOVATE
10281725,Opwijk,HOUSE,MANOR_HOUSE,925000.0,BUY_REGULAR,2.0,,0,None,1,None,None,None,None,3688,4,None,GOOD
10311770,Scherpenheuvel,APARTMENT,GROUND_FLOOR,284000.0,BUY_REGULAR,2.0,96.0,None,None,0,1,18,1,30,None,None,None,None
10301595,Wezembeek-Oppem,HOUSE,HOUSE,695000.0,BUY_REGULAR,5.0,220.0,0,None,0,1,16,None,None,298,2,0,GOOD
10284608,Londerzeel,HOUSE,HOUSE,675000.0,BUY_REGULAR,3.0,240.0,0,None,0,1,45,1,350,1100,3,None,GOOD
